,Činnost,Zábavnost (1-10),Smysluplnost (1-10),Celkové skóre
0,Sex / Intimní aktivity,10,10,20
1,Společenské aktivity (socializace),9,8,17
3,Fyzická aktivita (cvičení),9,7,16
5,Dobrovolnictví a péče o druhé,6,10,16
6,Duchovní aktivity,5,9,14
7,Hobby a koníčky,7,7,14
2,Relaxace a odpočinek,8,5,13
4,Jídlo,8,5,13
8,Pití alkoholu / Party,9,4,13
12,Studium / školení,3,9,12
10,Hraní videoher,8,4,12
11,Placená práce,4,8,12
9,Nakupování pro radost,7,3,10
13,Domácí práce,2,4,6
15,Osobní hygiena,2,3,5
14,Dojíždění,1,2,3
17,Používání sociálních sítí,2,1,3
16,Být nemocný,1,1,2
